CustomerKey,GeographyKey,First Name,LastName,Full Name,Gender,DateFirstPurchase,Customer City
11184,311,Meghan,Hernandez,Meghan Hernandez,Female,2023-08-10,Concord
11185,53,Ashley,Henderson,Ashley Henderson,Female,2023-02-21,Metchosin
11186,352,Sarah,Price,Sarah Price,Female,2023-10-18,Palo Alto
11187,612,Jennifer,Cooper,Jennifer Cooper,Female,2023-04-03,Burien
11188,361,Catherine,Morris,Catherine Morris,Female,2023-11-01,San Gabriel
11189,609,Lawrence,Blanco,Lawrence Blanco,Male,2021-08-26,Bellingham
11190,300,Carson,Bryant,Carson Bryant,Male,2023-08-28,Beverly Hills
11191,310,Kristi,Perez,Kristi Perez,Female,2021-08-11,Colma
11192,637,James,Brown,James Brown,Male,2023-06-23,Seattle
11193,553,Ian,Gray,Ian Gray,Male,2023-02-25,Woodburn
11194,352,Jacqueline,Price,Jacqueline Price,Female,2023-03-13,Palo Alto
11195,635,Megan,Henderson,Megan Henderson,Female,2023-04-14,Renton
11196,536,Alfredo,Romero,Alfredo Romero,Male,2023-03-03,Beaverton
11197,637,Andrea,Morris,Andrea Morris,Female,2023-05-02,Seattle
11198,368,Brooke,Sanders,Brooke Sanders,Female,2023-02-05,Santa Cruz
11199,302,Jacqueline,Bennett,Jacqueline Bennett,Female,2023-03-18,Burlingame
11200,69,Jason,Griffin,Jason Griffin,Male,2023-02-07,Victoria
11201,369,Amanda,Foster,Amanda Foster,Female,2023-07-01,Santa Monica
11202,334,Alexia,Price,Alexia Price,Female,2023-09-15,Lakewood
11203,60,Luis,Diaz,Luis Diaz,Male,2023-02-20,Port Hammond
11204,536,Destiny,Rivera,Destiny Rivera,Female,2023-08-09,Beaverton
11205,612,Abby,Fernandez,Abby Fernandez,Female,2023-07-27,Burien
11206,626,Blake,Flores,Blake Flores,Male,2023-05-11,Lynnwood
11207,635,Danielle,Cox,Danielle Cox,Female,2023-01-31,Renton
11208,325,Maria,Reed,Maria Reed,Female,2023-03-04,Glendale
11209,336,Allison,Evans,Allison Evans,Female,2023-03-25,Lincoln Acres
11210,383,Edward,Wood,Edward Wood,Male,2023-05-06,West Covina
11211,50,Samantha,Russell,Samantha Russell,Female,2023-02-01,Haney
11212,53,Chloe,Campbell,Chloe Campbell,Female,2023-01-30,Metchosin
11213,614,Stephanie,Murphy,Stephanie Murphy,Female,2023-03-28,Edmonds
11214,545,Charles,Miller,Charles Miller,Male,2023-08-14,Milwaukie
11215,62,Ana,Perry,Ana Perry,Female,2023-02-15,Royal Oak
11216,547,Jasmine,Torres,Jasmine Torres,Female,2021-08-15,Portland
11217,547,Natalie,Adams,Natalie Adams,Female,2021-08-10,Portland
11218,642,Olivia,Brown,Olivia Brown,Female,2023-02-28,Tacoma
11219,553,Charles,Cook,Charles Cook,Male,2023-10-29,Woodburn
11220,310,Erica,Huang,Erica Huang,Female,2023-03-14,Colma
11221,334,Nathan,Perry,Nathan Perry,Male,2023-04-07,Lakewood
11222,369,Alexandra,Rivera,Alexandra Rivera,Female,2023-11-01,Santa Monica
11223,52,Hailey,Patterson,Hailey Patterson,Female,2023-01-29,Langley
11224,612,Tiffany,Li,Tiffany Li,Female,2021-08-07,Burien
11225,635,Madison,Lee,Madison Lee,Female,2023-06-22,Renton
11226,552,Sydney,Ross,Sydney Ross,Female,2023-02-21,W. Linn
11227,310,Marshall,Chavez,Marshall Chavez,Male,2021-08-03,Colma
11228,316,Ashley,Jones,Ashley Jones,Female,2023-10-25,El Cajon
11229,355,Adrian,Stewart,Adrian Stewart,Male,2023-07-27,Redwood City
11230,369,Amber,Turner,Amber Turner,Female,2023-07-16,Santa Monica
11231,611,Dennis,Zhang,Dennis Zhang,Male,2023-02-10,Bremerton
11232,616,Hailey,Bryant,Hailey Bryant,Female,2023-09-20,Everett
11233,299,Todd,Li,Todd Li,Male,2023-02-08,Berkeley
11234,337,Anna,Griffin,Anna Griffin,Female,2023-02-08,Long Beach
11235,607,Angel,Stewart,Angel Stewart,Male,2023-07-04,Ballard
11236,609,Jeremy,Butler,Jeremy Butler,Male,2023-10-03,Bellingham
11237,161,Clarence,Anand,Clarence Anand,Male,2021-09-05,Solingen
11238,232,Mayra,Prasad,Mayra Prasad,Female,2021-01-06,Birmingham
11239,249,Latoya,Goel,Latoya Goel,Female,2021-01-19,London
11240,273,Anne,Hernandez,Anne Hernandez,Female,2021-02-27,Watford
11241,211,Lisa,Cai,Lisa Cai,Female,2022-09-10,Les Ulis
11242,209,Larry,Munoz,Larry Munoz,Male,2022-09-19,Versailles
11243,237,Robin,Alvarez,Robin Alvarez,Female,2021-02-21,Esher-Molesey
11244,267,Alexis,Coleman,Alexis Coleman,Female,2021-02-12,Runcorn
11245,132,Ricky,Vazquez,Ricky Vazquez,Male,2021-09-26,Hamburg
11246,147,Latasha,Rubio,Latasha Rubio,Female,2021-10-03,Hamburg
11247,242,Claudia,Zhou,Claudia Zhou,Female,2021-02-18,Lancaster
11248,223,Tristan,Alexander,Tristan Alexander,Male,2023-07-14,Saint-Denis
11249,178,Cindy,Patel,Cindy Patel,Female,2021-10-09,Sulzbach Taunus
11250,276,Shannon,Liu,Shannon Liu,Female,2021-03-17,Woolston
11251,50,Xavier,Long,Xavier Long,Male,2023-10-18,Haney
11252,335,Nicholas,Thompson,Nicholas Thompson,Male,2021-08-14,Lemon Grove
11253,69,José,Hernandez,José Hernandez,Male,2023-03-01,Victoria
11254,612,Johnathan,Vance,Johnathan Vance,Male,2023-11-23,Burien
11255,612,Colin,Lin,Colin Lin,Male,2023-02-23,Burien
11256,626,Katelyn,Hernandez,Katelyn Hernandez,Female,2023-04-15,Lynnwood
11257,345,Jacqueline,Powell,Jacqueline Powell,Female,2021-08-24,Newport Beach
11258,352,Xavier,Hill,Xavier Hill,Male,2023-05-21,Palo Alto
11259,548,Victoria,Stewart,Victoria Stewart,Female,2021-09-04,Salem
11260,302,Katelyn,Kelly,Katelyn Kelly,Female,2023-02-05,Burlingame
11261,359,Stephanie,Collins,Stephanie Collins,Female,2021-09-27,San Diego
11262,60,Jennifer,Simmons,Jennifer Simmons,Female,2023-02-27,Port Hammond
11263,612,Trinity,Richardson,Trinity Richardson,Female,2021-08-29,Burien
11264,618,Eduardo,Martin,Eduardo Martin,Male,2023-01-02,Issaquah
11265,623,Elizabeth,Jones,Elizabeth Jones,Female,2023-01-03,Kirkland
11266,632,Taylor,Howard,Taylor Howard,Female,2021-09-10,Port Orchard
11267,302,David,Diaz,David Diaz,Male,2021-09-17,Burlingame
11268,312,Katelyn,Carter,Katelyn Carter,Female,2023-05-29,Coronado
11269,314,Ryan,Foster,Ryan Foster,Male,2023-08-22,Daly City
11270,334,Robert,Lee,Robert Lee,Male,2021-09-10,Lakewood
11271,360,Danielle,Reed,Danielle Reed,Female,2021-09-27,San Francisco
11272,300,Lauren,Martinez,Lauren Martinez,Female,2021-09-19,Beverly Hills
11273,331,Nathan,Lal,Nathan Lal,Male,2023-05-14,La Jolla
11274,609,Kyle,Foster,Kyle Foster,Male,2021-08-29,Bellingham
11275,310,Jenny,Rai,Jenny Rai,Female,2021-08-30,Colma
11276,49,Nancy,Chapman,Nancy Chapman,Female,2023-01-29,Cliffside
11277,62,Charles,Jackson,Charles Jackson,Male,2023-02-02,Royal Oak
11278,614,Jonathan,Phillips,Jonathan Phillips,Male,2021-09-16,Edmonds
11279,616,Amanda,Cook,Amanda Cook,Female,2023-03-03,Everett
11280,626,Robert,Collins,Robert Collins,Male,2023-07-01,Lynnwood
11281,301,Megan,Barnes,Megan Barnes,Female,2021-09-13,Burbank
11282,612,Christian,Thomas,Christian Thomas,Male,2021-08-31,Burien
11283,299,Arturo,Lal,Arturo Lal,Male,2023-05-29,Berkeley
11284,307,Theresa,Serrano,Theresa Serrano,Female,2023-02-06,Chula Vista
11285,322,Jeremy,Anderson,Jeremy Anderson,Male,2023-07-27,Fremont
11286,374,Hunter,Griffin,Hunter Griffin,Male,2021-09-21,Torrance
11287,49,Henry,Garcia,Henry Garcia,Male,2023-01-29,Cliffside
11288,301,Cindy,Sanchez,Cindy Sanchez,Female,2023-03-05,Burbank
11289,315,Maria,Carter,Maria Carter,Female,2021-09-08,Downey
11290,334,Katelyn,Sanchez,Katelyn Sanchez,Female,2021-09-20,Lakewood
11291,335,Jenna,Wright,Jenna Wright,Female,2021-09-04,Lemon Grove
11292,361,Seth,Phillips,Seth Phillips,Male,2021-09-15,San Gabriel
11293,632,Luke,Long,Luke Long,Male,2023-02-24,Port Orchard
11294,618,Dalton,Clark,Dalton Clark,Male,2023-09-25,Issaquah
11295,311,Taylor,Lewis,Taylor Lewis,Female,2021-09-25,Concord
11296,616,Haley,Richardson,Haley Richardson,Female,2021-09-01,Everett
11297,301,Noah,Coleman,Noah Coleman,Male,2021-09-26,Burbank
11298,307,Jon,Luo,Jon Luo,Male,2021-09-12,Chula Vista
11299,301,Orlando,Vazquez,Orlando Vazquez,Male,2021-09-26,Burbank
11300,54,Fernando,Barnes,Fernando Barnes,Male,2023-01-31,N. Vancouver
11301,607,Cameron,Rodriguez,Cameron Rodriguez,Male,2023-06-09,Ballard
11302,539,Spencer,Russell,Spencer Russell,Male,2021-09-06,Corvallis
11303,614,Julia,Coleman,Julia Coleman,Female,2021-09-02,Edmonds
11304,547,Julia,Garcia,Julia Garcia,Female,2023-03-20,Portland
11305,307,Sean,Evans,Sean Evans,Male,2023-03-25,Chula Vista
11306,312,Micah,Zhou,Micah Zhou,Male,2023-06-30,Coronado
11307,314,Hunter,Rodriguez,Hunter Rodriguez,Male,2021-09-04,Daly City
11308,546,Ian,Gonzales,Ian Gonzales,Male,2023-09-07,Oregon City
11309,536,Victoria,Lewis,Victoria Lewis,Female,2023-07-09,Beaverton
11310,360,Erin,Sanders,Erin Sanders,Female,2023-08-12,San Francisco
11311,626,Gabrielle,Lopez,Gabrielle Lopez,Female,2023-04-18,Lynnwood
11312,626,Sara,Richardson,Sara Richardson,Female,2023-05-17,Lynnwood
11313,632,Trevor,Jenkins,Trevor Jenkins,Male,2023-05-07,Port Orchard
11314,618,Mya,Flores,Mya Flores,Female,2023-02-25,Issaquah
11315,632,Hailey,Ward,Hailey Ward,Female,2023-05-20,Port Orchard
11316,51,Luke,Allen,Luke Allen,Male,2023-01-12,Langford
11317,548,Victoria,Russell,Victoria Russell,Female,2021-09-01,Salem
11318,614,Jessica,Wilson,Jessica Wilson,Female,2023-10-17,Edmonds
11319,348,Jade,Bailey,Jade Bailey,Female,2021-09-09,Oakland
11320,325,Morgan,Hill,Morgan Hill,Female,2023-06-15,Glendale
11321,612,Terrance,Raman,Terrance Raman,Male,2023-02-23,Burien
11322,611,Sydney,Garcia,Sydney Garcia,Female,2023-03-24,Bremerton
11323,314,Jose,Patterson,Jose Patterson,Male,2021-09-10,Daly City
11324,325,Zachary,Anderson,Zachary Anderson,Male,2021-09-26,Glendale
11325,637,Elijah,Ross,Elijah Ross,Male,2021-09-19,Seattle
11326,300,Rafael,Xie,Rafael Xie,Male,2021-09-15,Beverly Hills
11327,301,Jaime,Moreno,Jaime Moreno,Male,2021-09-26,Burbank
11328,55,Julian,Griffin,Julian Griffin,Male,2023-01-05,Newton
11329,311,Andy,Alvarez,Andy Alvarez,Male,2021-09-25,Concord
11330,59,Ryan,Thompson,Ryan Thompson,Male,2023-02-12,Oak Bay
11331,63,Samantha,Jenkins,Samantha Jenkins,Female,2023-02-07,Shawnee
11332,153,Deanna,Ramos,Deanna Ramos,Female,2021-10-15,Berlin
11333,261,Emily,Miller,Emily Miller,Female,2021-03-21,Newcastle upon Tyne
11334,269,Nicole,Brown,Nicole Brown,Female,2021-03-04,Stoke-on-Trent
11335,120,Carla,Raman,Carla Raman,Female,2021-10-23,Hof
11336,204,Shaun,Raji,Shaun Raji,Male,2022-09-27,Paris
11337,273,Jerome,Romero,Jerome Romero,Male,2021-03-09,Watford
11338,154,Frank,Navarro,Frank Navarro,Male,2021-10-11,Bonn
11339,202,Dennis,She,Dennis She,Male,2022-10-07,Paris
11340,192,Melody,Munoz,Melody Munoz,Female,2022-10-27,Paris
11341,236,Randy,Zeng,Randy Zeng,Male,2021-04-11,Cheltenham
11342,191,Marshall,Wang,Marshall Wang,Male,2023-07-12,Boulogne-sur-Mer
11343,264,Arthur,Carlson,Arthur Carlson,Male,2021-04-04,Oxon
11344,262,Jessie,Jimenez,Jessie Jimenez,Female,2021-05-13,Oxford
11345,224,Robin,Ramos,Robin Ramos,Female,2022-10-22,Tremblay-en-France
11346,196,Deanna,Gutierrez,Deanna Gutierrez,Female,2022-10-01,Paris
11347,156,Roy,Navarro,Roy Navarro,Male,2023-03-16,Braunschweig
11348,151,Shawn,Rai,Shawn Rai,Male,2023-03-31,Paderborn
11349,134,Mindy,Luo,Mindy Luo,Female,2024-01-13,München
11350,265,Cara,Zhou,Cara Zhou,Female,2023-02-05,Peterborough
11351,253,Anne,Ramos,Anne Ramos,Female,2021-06-12,London
11352,222,Raymond,Rodriguez,Raymond Rodriguez,Male,2023-05-01,Pantin
11353,271,Carrie,Ortega,Carrie Ortega,Female,2021-06-12,Warrington
11354,119,Deanna,Suarez,Deanna Suarez,Female,2023-12-03,Grevenbroich
11355,275,Roberto,Gutierrez,Roberto Gutierrez,Male,2023-09-26,Wokingham
11356,6,Terrence,Carson,Terrence Carson,Male,2021-05-10,Lavender Bay
11357,21,Ramon,Ye,Ramon Ye,Male,2021-06-18,Caloundra
11358,2,Cynthia,Malhotra,Cynthia Malhotra,Female,2021-06-28,Coffs Harbour
